player,season,playoffs,Game_Type_Regular_Tot,Game_Type_Playoffs_Tot,Shot_Made,Total_Game_Played,Total_FT_Made,Total_FTA,FT_Pct,Game_Type
Chris Duhon,2010 - 2011,regular,25,0,14,12,14,25,0.56,regular
Chris Duhon,2011 - 2012,regular,21,0,17,11,17,21,0.81,regular
Chris Hunter,2009 - 2010,regular,69,0,52,25,52,69,0.754,regular
Chris Johnson,2012 - 2013,regular,36,0,22,11,22,36,0.611,regular
Chris Johnson,2013 - 2014,regular,43,0,37,17,37,43,0.86,regular
Chris Johnson,2015 - 2016,regular,40,0,32,19,32,40,0.8,regular
Chris Kaman,2006 - 2007,regular,222,0,165,56,165,222,0.743,regular
Chris Kaman,2007 - 2008,regular,265,0,202,49,202,265,0.762,regular
Chris Kaman,2008 - 2009,regular,75,0,51,24,51,75,0.68,regular
Chris Kaman,2009 - 2010,regular,307,0,230,66,230,307,0.749,regular
Chris Kaman,2010 - 2011,regular,57,0,43,16,43,57,0.754,regular
Chris Kaman,2011 - 2012,regular,107,0,84,34,84,107,0.785,regular
Chris Kaman,2012 - 2013,regular,85,0,67,31,67,85,0.788,regular
Chris Kaman,2013 - 2014,regular,68,0,52,22,52,68,0.765,regular
Chris Kaman,2014 - 2015,regular,102,0,72,41,72,102,0.706,regular
Chris Paul,2006 - 2007,regular,355,0,290,58,290,355,0.817,regular
Chris Paul,2007 - 2008,playoffs,0,79,62,12,62,79,0.785,playoffs
Chris Paul,2007 - 2008,regular,389,0,331,72,331,389,0.851,regular
Chris Paul,2008 - 2009,regular,524,0,455,78,455,524,0.868,regular
Chris Paul,2009 - 2010,regular,190,0,161,39,161,190,0.847,regular
Chris Paul,2010 - 2011,regular,386,0,339,74,339,386,0.878,regular
Chris Paul,2011 - 2012,regular,302,0,260,56,260,302,0.861,regular
Chris Paul,2012 - 2013,regular,324,0,286,64,286,324,0.883,regular
Chris Paul,2013 - 2014,playoffs,0,53,41,12,41,53,0.774,playoffs
Chris Paul,2013 - 2014,regular,345,0,295,61,295,345,0.855,regular
Chris Paul,2014 - 2015,regular,321,0,289,64,289,321,0.9,regular
Chris Paul,2015 - 2016,regular,328,0,294,71,294,328,0.896,regular
Chris Quinn,2006 - 2007,regular,37,0,25,14,25,37,0.676,regular
Chris Quinn,2007 - 2008,regular,98,0,85,24,85,98,0.867,regular
Chris Quinn,2008 - 2009,regular,58,0,47,27,47,58,0.81,regular
Chris Richard,2007 - 2008,regular,27,0,16,12,16,27,0.593,regular
